ID	Genome name	Taxonomy	Genome size(Mb)	GC(%)	GenBank accession number	BioProject
Rph0	Rickettsia philipii str. 364D	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group.	1.29	32.50	CP003308	PRJNA89383
Rph1	Rhodospirillum photometricum DSM 122	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Rhodospirillum.	3.88	64.70	HE663493	PRJNA159003
HPC0	Halothece sp. PCC 7418	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Halothece cluster; Halothece.	4.18	42.90	CP003945	PRJNA183338
Ico0	Ilumatobacter coccineus YM16-304	Bacteria; Actinobacteria; Acidimicrobidae; Acidimicrobiales; Acidimicrobineae; Acidimicrobiaceae; Ilumatobacter.	4.83	67.30	AP012057	PRJNA193703
Pam0	Paracoccus aminophilus JCM 7686	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Paracoccus.	4.87	63.41	CP006650	PRJNA214795
Tac0	Tepidanaerobacter acetatoxydans Re1	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacteraceae; Tepidanaerobacter.	2.76	37.50	HF563609,CP002728	PRJNA66873
Abu2	Arcobacter butzleri 7h1h	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter.	2.25	27.10	CP006615	PRJNA200766
Abu0	Arcobacter butzleri RM4018	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter.	2.34	27.00	CP000361	PRJNA58557
Abu1	Arcobacter butzleri ED-1	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Arcobacter.	2.26	27.10	AP012047	PRJNA158699
CKi1	Candidatus Kinetoplastibacterium oncopeltii TCC290E	Bacteria; Proteobacteria; Betaproteobacteria; Kinetoplastibacterium.	0.81	31.20	CP003805	PRJNA189840
CKi0	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)	Bacteria; Proteobacteria; Betaproteobacteria; Kinetoplastibacterium.	0.82	31.00	CP003978	PRJNA183630
CKi3	Candidatus Kinetoplastibacterium desouzaii TCC079E	Bacteria; Proteobacteria; Betaproteobacteria; Kinetoplastibacterium.	0.83	30.20	CP003803	PRJNA189750
CKi2	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	Bacteria; Proteobacteria; Betaproteobacteria; Kinetoplastibacterium.	0.82	32.50	CP003733	PRJNA183629
Pca0	Pectobacterium carotovorum subsp. carotovorum PCC21	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Pectobacterium.	4.84	52.20	CP003776	PRJNA174335
CKi4	Candidatus Kinetoplastibacterium blastocrithidii TCC012E	Bacteria; Proteobacteria; Betaproteobacteria; Kinetoplastibacterium.	0.82	32.50	CP003807	PRJNA189752
Pca2	Pelobacter carbinolicus DSM 2380	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfuromonadales; Pelobacteraceae; Pelobacter.	3.67	55.10	CP000142	PRJNA58241
CKi6	Candidatus Kinetoplastibacterium crithidii TCC036E	Bacteria; Proteobacteria; Betaproteobacteria; Kinetoplastibacterium.	0.82	31.00	CP003804	PRJNA189749
Pac4	Propionibacterium acnes 266	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	2.49	60.00	CP002409	PRJNA162059
Pac5	Propionibacterium acnes SK137	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	2.5	60.10	CP001977	PRJNA48071
Pac6	Propionibacterium acnes HL096PA1	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	2.55	60.15	CP003293	PRJNA198524
Pac7	Propionibacterium acnes TypeIA2 P.acn31	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	2.5	60.00	CP003197	PRJNA80733
Pac0	Parachlamydia acanthamoebae UV-7	Bacteria; Chlamydiae; Chlamydiales; Parachlamydiaceae; Parachlamydia.	3.07	39.00	FR872580	PRJNA68335
Pac1	Propionibacterium acnes TypeIA2 P.acn33	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	2.49	60.00	CP003195	PRJNA80745
Pac2	Propionibacterium acnes TypeIA2 P.acn17	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	2.52	60.10	CP003196	PRJNA80735
Pac3	Propionibacterium acnes ATCC 11828	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	2.49	60.00	CP003084	PRJNA162177
Hce0	Helicobacter cetorum MIT 99-5656	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.85	35.58	CP003481	PRJNA162215
Hce1	Helicobacter cetorum MIT 00-7128	Bacteria; Proteobacteria; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter.	1.96	34.50	CP003479	PRJNA162217
Pac8	Propionibacterium acnes KPA171202	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	2.56	60.00	AE017283	PRJNA58101
Pac9	Propionibacterium acidipropionici ATCC 4875	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Propionibacterineae; Propionibacteriaceae; Propionibacterium.	3.66	68.80	CP003493	PRJNA179069
Mpl0	Melissococcus plutonius DAT561	Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Melissococcus.	2.05	31.19	AP012282	PRJNA89371
CTr2	Candidatus Tremblaya phenacola PAVE	Bacteria; Proteobacteria; Betaproteobacteria; Candidatus Tremblaya.	0.17	42.1	CP003982	PRJNA209173
CTr1	Candidatus Tremblaya princeps PCVAL	Bacteria; Proteobacteria; Betaproteobacteria; Candidatus Tremblaya.	0.14	58.80	CP002918	PRJNA159519
CTr0	Candidatus Tremblaya princeps PCIT	Bacteria; Proteobacteria; Betaproteobacteria; Candidatus Tremblaya.	0.14	58.80	CP002244	PRJNA68741
Tvo0	Thermoplasma volcanium GSS1	Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmatales; Thermoplasmataceae; Thermoplasma.	1.58	39.90	BA000011	PRJNA57751
Hbo0	Halogeometricum borinquense DSM 11551 PR 3	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Halogeometricum.	3.94	59.97	CP001690	PRJNA54919
Sca1	Solitalea canadensis DSM 3403	Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Solitalea.	5.2	37.30	CP003349	PRJNA81783
Sca0	Staphylococcus carnosus subsp. carnosus TM300	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.57	34.60	AM295250	PRJNA59401
Sca2	Streptomyces cattleya NRRL 8057 = DSM 46488	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces.	8.09	72.99	CP003219,FQ859185	PRJNA77117
Ain0	Acidaminococcus intestini RyC-MR95	Bacteria; Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Acidaminococcus.	2.49	50.00	CP003058	PRJNA74445
Sfu0	Streptomyces fulvissimus DSM 40593	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces.	7.91	71.50	CP005080	PRJNA201038
Sfu1	Syntrophobacter fumaroxidans MPOB	Bacteria; Proteobacteria; Deltaproteobacteria; Syntrophobacterales; Syntrophobacteraceae; Syntrophobacter.	4.99	59.90	CP000478	PRJNA58177
Ret2	Rhizobium etli CIAT 652	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	6.45	61.34	CP001074	PRJNA59115
Ret1	Rhizobium etli CFN 42	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Rhizobium.	6.53	61.05	CP000133	PRJNA58377
Sco4	Sphaerochaeta coccoides DSM 17374	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Sphaerochaeta.	2.23	50.60	CP002659	PRJNA66331
Sco3	Streptococcus constellatus subsp. pharyngis C1050	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus group.	1.99	38.10	CP003859	PRJNA218002
Sco2	Streptococcus constellatus subsp. pharyngis C232	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus anginosus group.	1.94	38.20	CP003800	PRJNA217998
Gfo0	Gramella forsetii KT0803	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Gramella.	3.8	36.60	CU207366	PRJNA58881
HSN0	Hydrogenobaculum sp. SN	Bacteria; Aquificae; Aquificales; Aquificaceae; Hydrogenobaculum.	1.55	34.80	CP004390	PRJNA46251
Hvo0	Haloferax volcanii DS2	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Haloferax.	4.01	65.46	CP001956	PRJNA46845
AFw0	Anaeromyxobacter sp. Fw109-5	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Anaeromyxobacteraceae; Anaeromyxobacter.	5.28	73.50	CP000769	PRJNA58755
ARu0	Arthrobacter sp. Rue61a	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micrococcineae; Micrococcaceae; Arthrobacter.	5.08	62.23	CP003203	PRJNA174511
Kko0	Kangiella koreensis DSM 16069	Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Alcanivoracaceae; Kangiella.	2.85	43.70	CP001707	PRJNA59209
Vma0	Verrucosispora maris AB-18-032	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Micromonosporineae; Micromonosporaceae; Verrucosispora.	6.73	70.89	CP002638	PRJNA66297
Cpi0	Chitinophaga pinensis DSM 2588	Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Chitinophagaceae; Chitinophaga.	9.13	45.20	CP001699	PRJNA59113
FEA0	Frankia sp. EAN1pec EAN1.pec	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Frankineae; Frankiaceae; Frankia.	8.98	71.20	CP000820	PRJNA58367
Aur0	Aerococcus urinae ACS-120-V-Col10a	Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus.	2.08	41.90	CP002512	PRJNA64757
GGH0	Geobacillus sp. GHH01	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus.	3.58	52.30	CP004008	PRJNA188479
Rrh0	Rickettsia rhipicephali str. 3-7-female6-CWPP	Bacteria; Proteobacteria; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Rickettsia; spotted fever group.	1.31	32.39	CP003342	PRJNA156977
CPh1	Candidatus Phytoplasma australiense	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; 16SrXII (Stolbur group).	0.88	27.40	AM422018	PRJNA61641
CPh0	Candidatus Phytoplasma mali AT	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; 16SrX (Apple proliferation group).	0.6	21.40	CU469464	PRJNA59087
Dde3	Deinococcus deserti VCD115	Bacteria; Deinococcus-Thermus; Deinococci; Deinococcales; Deinococcaceae; Deinococcus.	3.86	62.98	CP001114	PRJNA58615
Dde2	Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	2.87	58.10	CP001358	PRJNA59213
Dde1	Deferribacter desulfuricans SSM1	Bacteria; Deferribacteres; Deferribacterales; Deferribacteraceae; Deferribacter.	2.54	30.3	AP011529	PRJNA46653
Dde0	Desulfovibrio desulfuricans ND132	Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio.	3.86	65.20	CP003220	PRJNA63159
Dde4	Desulfitobacterium dehalogenans ATCC 51507	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfitobacterium.	4.32	45.00	CP003348	PRJNA82553
Txy0	Thermoanaerobacterium xylanolyticum LX-11	Bacteria; Firmicutes; Clostridia; Thermoanaerobacterales; Thermoanaerobacterales Family III. Incertae Sedis; Thermoanaerobacterium.	2.53	35.00	CP002739	PRJNA63163
Mst0	Myxococcus stipitatus DSM 14675	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	10.35	69.20	CP004025	PRJNA186549
Mst1	Methanosphaera stadtmanae DSM 3091	Archaea; Euryarchaeota; Methanobacteria; Methanobacteriales; Methanobacteriaceae; Methanosphaera.	1.77	27.60	CP000102	PRJNA58407
AAD0	Acinetobacter sp. ADP1	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter.	3.6	40.40	CR543861	PRJNA61597
Sdy4	Streptococcus dysgalactiae subsp. equisimilis GGS_124	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.11	39.60	AP010935	PRJNA59103
Sdy5	Shigella dysenteriae Sd197	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Shigella.	4.56	50.92	CP000034	PRJNA58213
Sdy2	Streptococcus dysgalactiae subsp. equisimilis RE378	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.15	39.50	AP011114	PRJDA176684
Sdy3	Streptococcus dysgalactiae subsp. equisimilis 167	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.08	39.60	AP012976	PRJNA222822
Sdy0	Shigella dysenteriae 1617	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Shigella.	4.48	50.95	CP006736	PRJNA229875
Oye0	Onion yellows phytoplasma OY-M onion yellows	Bacteria; Tenericutes; Mollicutes; Acholeplasmatales; Acholeplasmataceae; Candidatus Phytoplasma; Candidatus Phytoplasma asteris.	0.85	27.80	AP006628	PRJNA58015
Sha0	Shewanella halifaxensis HAW-EB4	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella.	5.23	44.60	CP000931	PRJNA59007
Sha1	Staphylococcus haemolyticus JCSC1435	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcus.	2.7	32.79	AP006716	PRJNA62919
S210	Sphingobacterium sp. 21	Bacteria; Bacteroidetes; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium.	6.23	41.10	CP002584	PRJNA64755
GY41	Geobacillus sp. Y412MC52	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus.	3.67	52.31	CP002442	PRJNA55381
GY42	Geobacillus sp. Y4.1MC1	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus.	3.91	44.0	CP002293	PRJNA55779
Aba5	Acinetobacter baumannii MDR-TJ	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.15	39.07	CP003500	PRJNA162739
Aba10	Acinetobacter baumannii BJAB0715	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.05	38.92	CP003847	PRJNA210972
Aba11	Acinetobacter baumannii BJAB07104	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.04	38.95	CP003846	PRJNA210971
Aba12	Acinetobacter baumannii AYE	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.05	39.34	CU459141	PRJNA61637
Aba13	Acinetobacter baumannii ACICU	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.0	38.9	CP000863	PRJNA58765
Aba14	Acinetobacter baumannii TCDC-AB0715	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.22	38.89	CP002522	PRJNA158679
Aba8	Acinetobacter baumannii ATCC 17978	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex.	4.0	38.88	CP000521	PRJNA58731
Sag2	Streptococcus agalactiae ILRI112	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus.	2.03	35.30	HF952106	PRJNA208675
Ama11	Alteromonas macleodii str. 'English Channel 673'	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas.	4.6	44.80	CP003844	PRJNA176367
Ama10	Alteromonas macleodii str. 'Ionian Sea U7'	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas.	4.44	44.80	CP004851	PRJNA210785
Ama12	Alteromonas macleodii str. 'English Channel 615'	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas.	4.58	44.91	CP004846	PRJNA210781
Gni0	Glaciecola nitratireducens FR1064	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Glaciecola.	4.13	42.30	CP003060	PRJNA73759
Ote0	Opitutus terrae PB90-1	Bacteria; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae; Opitutus.	5.96	65.30	CP001032	PRJNA58965
Tme0	Thermosipho melanesiensis BI429	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermosipho.	1.92	31.40	CP000716	PRJNA58683
Mxa0	Myxococcus xanthus DK 1622	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus.	9.14	68.90	CP000113	PRJNA58003
Coc0	Capnocytophaga ochracea DSM 7271	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Capnocytophaga.	2.61	39.60	CP001632	PRJNA59197
Mex2	Methylobacterium extorquens AM1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	6.88	68.47	CP001510	PRJNA57605
Mex3	Methylobacterium extorquens CM4	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	6.18	68.07	CP001298	PRJNA58933
Mex0	Methylobacterium extorquens DM4	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	6.12	68.01	FP103042	PRJNA61617
Mex1	Methylobacterium extorquens PA1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylobacterium.	5.47	68.20	CP000908	PRJNA58821
CBl3	Candidatus Blochmannia chromaiodes str. 640	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; ant endosymbionts; Candidatus Blochmannia.	0.79	29.50	CP003903	PRJNA185308
SPC4	Synechocystis sp. PCC 6803 substr. GT-I	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis.	3.57	47.70	AP012276	PRJNA158059
CBl1	Candidatus Blochmannia pennsylvanicus str. BPEN	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; ant endosymbionts; Candidatus Blochmannia.	0.79	29.60	CP000016	PRJNA58329
CBl0	Candidatus Blochmannia vafer str. BVAF	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; ant endosymbionts; Candidatus Blochmannia.	0.72	27.50	CP002189	PRJNA62083
Vei0	Verminephrobacter eiseniae EF01-2	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Comamonadaceae; Verminephrobacter.	5.6	65.26	CP000542	PRJNA58675
Bse0	Bacillus selenitireducens MLS10	Bacteria; Firmicutes; Bacilli; Bacillales; Sporolactobacillaceae; unclassified Sporolactobacillaceae.	3.59	48.70	CP001791	PRJNA49513
Tsc0	Thermus scotoductus SA-01	Bacteria; Deinococcus-Thermus; Deinococci; Thermales; Thermaceae; Thermus.	2.36	64.9	CP001962	PRJNA62273
TK90	Thioalkalivibrio sp. K90mix	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Ectothiorhodospiraceae; Thioalkalivibrio.	2.99	65.56	CP001905	PRJNA46181
Taf0	Thermosipho africanus TCF52B	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermosipho.	2.02	30.80	CP001185	PRJNA59095
BMa0	Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR	Bacteria; Bacteroidetes; Flavobacteriia; Flavobacteriales; Blattabacteriaceae; Blattabacterium.	0.59	27.52	CP003000	PRJNA77127
Tpe2	Thermofilum pendens Hrk 5	Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermofilaceae; Thermofilum.	1.81	57.68	CP000505	PRJNA58563
Tpe1	Treponema pedis str. T A4	Bacteria; Spirochaetes; Spirochaetales; Spirochaetaceae; Treponema.	2.89	36.90	CP004120	PRJNA215715
Rsp0	Rhodobacter sphaeroides KD131	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Rhodobacter.	4.71	69.11	CP001150,CP001151	PRJNA59277
Ape0	Aeropyrum pernix K1	Archaea; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae; Aeropyrum.	1.67	56.30	BA000002	PRJNA57757
Acr0	Acidiphilium cryptum JF-5	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidiphilium.	3.96	67.1	CP000697	PRJNA58447
Ssc0	Streptomyces scabiei 87.22	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Streptomycineae; Streptomycetaceae; Streptomyces.	10.15	71.50	FN554889	PRJNA46531
Avi4	Allochromatium vinosum DSM 180	Bacteria; Proteobacteria; Gammaproteobacteria; Chromatiales; Chromatiaceae; Allochromatium.	3.67	64.21	CP001896	PRJNA46083
Dha0	Desulfitobacterium hafniense Y51	Bacteria; Firmicutes; Clostridia; Clostridiales; Peptococcaceae; Desulfitobacterium.	5.73	47.40	AP008230	PRJNA58605
Avi2	Azotobacter vinelandii CA	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Azotobacter.	5.37	65.70	CP005094	PRJNA198829
Avi3	Azotobacter vinelandii CA6	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Azotobacter.	5.32	65.60	CP005095	PRJNA198830
Avi0	Agrobacterium vitis S4	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium.	6.32	57.5	CP000633,CP000634	PRJNA58249
Avi1	Azotobacter vinelandii DJ	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Azotobacter.	5.37	65.70	CP001157	PRJNA57597
Sna0	Stackebrandtia nassauensis DSM 44728	Bacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Glycomycineae; Glycomycetaceae; Stackebrandtia.	6.84	68.10	CP001778	PRJNA46663
Bam17	Bacillus amyloliquefaciens subsp. plantarum UCMB5113	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	3.89	46.70	HG328254	PRJNA215236
Bam14	Bacillus amyloliquefaciens subsp. plantarum NAU-B3	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.2	45.99	HG514499	PRJNA222816
Bvu0	Bacteroides vulgatus ATCC 8482	Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides.	5.16	42.20	CP000139	PRJNA58253
Bam12	Burkholderia ambifaria AMMD	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex.	7.53	66.79	CP000440,CP000441,CP000442	PRJNA58303
Bam13	Bacillus amyloliquefaciens IT-45	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	3.94	46.59	CP004065	PRJNA181617
Bam10	Bacillus amyloliquefaciens LL3	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	4.0	45.69	CP002634	PRJNA158133
Bam11	Bacillus amyloliquefaciens subsp. plantarum str. FZB42	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus.	3.92	46.50	CP000560	PRJNA58271
Dmc4	Dehalococcoides mccartyi DCMB5	Bacteria; Chloroflexi; Dehalococcoidia; Dehalococcoidales; Dehalococcoidaceae; Dehalococcoides.	1.43	47.10	CP004079	PRJNA190184
Dmc5	Dehalococcoides mccartyi VS	Bacteria; Chloroflexi; Dehalococcoidia; Dehalococcoidales; Dehalococcoidaceae; Dehalococcoides.	1.41	47.30	CP001827	PRJNA42393
Dmc6	Dehalococcoides mccartyi 195	Bacteria; Chloroflexi; Dehalococcoidia; Dehalococcoidales; Dehalococcoidaceae; Dehalococcoides.	1.47	48.90	CP000027	PRJNA57763
Dmc7	Dehalococcoides mccartyi BAV1	Bacteria; Chloroflexi; Dehalococcoidia; Dehalococcoidales; Dehalococcoidaceae; Dehalococcoides.	1.34	47.20	CP000688	PRJNA58477
Gbe0	Granulibacter bethesdensis CGDNIH1	Bacteria; Proteobacteria; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Granulibacter.	2.71	59.10	CP000394	PRJNA58661
Npe0	Natrinema pellirubrum DSM 15624	Archaea; Euryarchaeota; Halobacteria; Halobacteriales; Halobacteriaceae; Natrinema.	4.35	63.96	CP003372	PRJNA74437
Dmc2	Dehalococcoides mccartyi GY50	Bacteria; Chloroflexi; Dehalococcoidia; Dehalococcoidales; Dehalococcoidaceae; Dehalococcoides.	1.41	47.00	CP006730	PRJNA230266
C170	Carnobacterium sp. 17-4	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Carnobacterium.	2.69	35.23	CP002563	PRJNA65789
Vta0	Vibrio tasmaniensis LGP32	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio.	4.97	43.87	FM954972,FM954973	PRJNA59353
Bma1	Bacteriovorax marinus SJ	Bacteria; Proteobacteria; Deltaproteobacteria; Bdellovibrionales; Bacteriovoracaceae; Bacteriovorax.	3.44	36.7	FQ312005	PRJNA82341
Bma3	Burkholderia mallei NCTC 10247	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group.	5.85	68.52	CP000547,CP000548	PRJNA58385
Csa1	Cronobacter sakazakii CMCC 45402 CMCC45402	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Cronobacter.	4.56	56.83	CP006731	PRJNA231516
